City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City_weather
60,Haines Junction,CA,2022-09-27 02:30:13,60.7522,-137.5108,51.75,50,100,3.44,Clouds
61,Mar Del Plata,AR,2022-09-27 02:30:05,-38.0023,-57.5575,57.09,94,100,4.61,Fog
62,Komsomolskiy,UZ,2022-09-27 02:30:14,40.4272,71.7189,61.52,41,0,0.0,Clear
63,Deputatskiy,RU,2022-09-27 02:30:14,69.3,139.9,22.48,92,100,5.35,Snow
64,Kapaa,US,2022-09-27 02:30:15,22.0752,-159.319,84.18,71,20,11.5,Clouds
65,Hamilton,US,2022-09-27 02:30:15,39.1834,-84.5333,59.86,65,0,5.75,Clear
66,Cape Town,ZA,2022-09-27 02:28:59,-33.9258,18.4232,55.11,85,0,4.61,Clear
67,Tasiilaq,GL,2022-09-27 02:30:15,65.6145,-37.6368,39.36,93,100,4.18,Clouds
68,Butaritari,KI,2022-09-27 02:30:15,3.0707,172.7902,82.4,70,28,17.83,Clouds
69,Ribeira Grande,PT,2022-09-27 02:30:16,38.5167,-28.7,70.47,71,100,12.68,Clouds
70,Hambantota,LK,2022-09-27 02:30:16,6.1241,81.1185,84.54,74,19,6.91,Clouds
71,Beihai,CN,2022-09-27 02:30:17,21.4833,109.1,86.7,61,61,10.11,Clouds
72,Grand Gaube,MU,2022-09-27 02:30:17,-20.0064,57.6608,70.38,66,38,7.0,Clouds
73,Saint-Philippe,RE,2022-09-27 02:30:17,-21.3585,55.7679,67.59,72,45,9.78,Clouds
74,Caraballeda,VE,2022-09-27 02:30:17,10.6112,-66.8522,82.87,86,40,2.3,Clouds
75,Hilo,US,2022-09-27 02:29:29,19.7297,-155.09,87.28,66,0,5.75,Clear
76,Bluff,NZ,2022-09-27 02:30:18,-46.6,168.3333,54.03,88,100,1.01,Clouds
77,Cidreira,BR,2022-09-27 02:30:18,-30.1811,-50.2056,62.46,86,19,5.5,Clouds
78,Kuliyapitiya,LK,2022-09-27 02:30:18,7.4688,80.0401,82.08,72,36,7.16,Clouds
79,Jacareacanga,BR,2022-09-27 02:30:19,-6.2222,-57.7528,79.79,64,96,2.59,Clouds
80,Suba,PH,2022-09-27 02:30:19,10.8438,121.0102,82.35,82,100,23.06,Clouds
81,Aspindza,GE,2022-09-27 02:30:19,41.5739,43.2483,50.29,49,0,5.39,Clear
82,Barrow,US,2022-09-27 02:30:20,71.2906,-156.7887,30.22,74,100,12.66,Clouds
83,Bilibino,RU,2022-09-27 02:30:20,68.0546,166.4372,29.91,55,68,2.15,Clouds
84,Airai,TL,2022-09-27 02:30:20,-8.9266,125.4092,80.91,32,96,2.24,Clouds
85,Balkhash,KZ,2022-09-27 02:30:20,46.844,74.9804,50.61,53,0,11.18,Clear
86,Palmer,US,2022-09-27 02:30:21,42.1584,-72.3287,59.86,87,20,3.44,Clouds
87,Pitimbu,BR,2022-09-27 02:30:21,-7.4706,-34.8086,75.79,78,12,11.45,Clouds
88,North Platte,US,2022-09-27 02:30:21,41.1239,-100.7654,68.38,54,0,5.99,Clear
89,Toora-Khem,RU,2022-09-27 02:30:22,52.4675,96.11,44.64,86,100,4.09,Clouds
90,Armizonskoye,RU,2022-09-27 02:30:22,55.9461,67.6736,28.42,95,97,15.35,Snow
91,Punta Arenas,CL,2022-09-27 02:28:55,-53.15,-70.9167,41.11,81,0,20.71,Clear
92,Geraldton,AU,2022-09-27 02:31:02,-28.7667,114.6,75.61,31,0,13.8,Clear
93,Qaanaaq,GL,2022-09-27 02:31:22,77.484,-69.3632,25.63,83,81,6.6,Clouds
94,Nikolskoye,RU,2022-09-27 02:31:23,59.7035,30.7861,44.78,92,100,3.4,Clouds
95,Brae,GB,2022-09-27 02:31:23,60.3964,-1.353,47.39,80,99,12.73,Rain
96,Invercargill,NZ,2022-09-27 02:31:04,-46.4,168.35,57.58,78,100,1.77,Clouds
97,Shingu,JP,2022-09-27 02:31:23,33.7333,135.9833,77.41,85,64,7.94,Clouds
98,Laje,BR,2022-09-27 02:31:24,-10.1833,-40.9667,70.23,54,1,9.15,Clear
99,Zeya,RU,2022-09-27 02:31:24,53.75,127.2667,44.17,55,100,8.9,Clouds
100,Ust-Kut,RU,2022-09-27 02:31:24,56.7938,105.7672,35.38,84,100,6.73,Clouds
101,Kovdor,RU,2022-09-27 02:31:25,67.5662,30.4758,41.58,97,100,2.26,Clouds
102,Ilhabela,BR,2022-09-27 02:29:37,-23.7781,-45.3581,67.66,91,100,6.87,Clouds
103,Hermanus,ZA,2022-09-27 02:31:25,-34.4187,19.2345,55.0,82,5,5.41,Clear
104,Malpe,IN,2022-09-27 02:31:25,13.35,74.7167,78.1,82,100,3.94,Clouds
105,Livingstone,ZM,2022-09-27 02:31:25,-17.8419,25.8543,70.43,32,2,3.67,Clear
106,Souillac,MU,2022-09-27 02:31:26,-20.5167,57.5167,70.18,68,20,16.11,Clouds
107,Rundu,NA,2022-09-27 02:31:26,-17.9333,19.7667,68.43,25,58,3.8,Clouds
108,Clyde River,CA,2022-09-27 02:31:26,70.4692,-68.5914,34.03,93,100,3.44,Clouds
109,Bethel,US,2022-09-27 02:29:06,41.3712,-73.414,66.56,83,0,0.0,Clear
110,Yerbogachen,RU,2022-09-27 02:31:27,61.2767,108.0108,33.4,82,99,6.4,Clouds
111,Severo-Kurilsk,RU,2022-09-27 02:31:27,50.6789,156.125,52.47,73,8,4.88,Clear
112,Sao Joao Da Barra,BR,2022-09-27 02:31:27,-21.6403,-41.0511,70.95,87,100,14.12,Clouds
113,Vaini,TO,2022-09-27 02:31:27,-21.2,-175.2,78.96,83,75,9.22,Clouds
114,Pacifica,US,2022-09-27 02:30:45,37.6138,-122.4869,67.57,90,20,18.41,Clouds
115,Camacha,PT,2022-09-27 02:31:28,33.0833,-16.3333,65.62,64,20,10.36,Clouds
116,Itarema,BR,2022-09-27 02:28:10,-2.9248,-39.9167,78.31,82,34,14.97,Clouds
117,Ternate,ID,2022-09-27 02:31:28,0.8,127.4,83.48,70,62,4.65,Clouds
118,Turtas,RU,2022-09-27 02:31:28,58.9417,69.1325,28.54,83,100,8.12,Clouds
119,Moyale,KE,2022-09-27 02:31:29,3.5167,39.0584,63.63,90,62,8.39,Clouds
120,Riyadh,SA,2022-09-27 02:29:03,24.6877,46.7219,73.54,24,0,8.46,Clear
121,Nuuk,GL,2022-09-27 02:31:29,64.1835,-51.7216,47.01,76,75,32.21,Rain
